,Date,Clients Buy,Clients Sales,Client Net,NRI Buy,NRI Sales,NRI Net,Proprietary Buy,Proprietary Sales,Proprietary Net,DII Buy,DII Sales,DII Net,Open,High,Low,Close,Text,SA
58,28-03-2011,2282.22,2359.41,-77.19,1.55,1.67,-0.12,564.71,546.71,18.01,1519.73,1806.25,-286.52,18799.71,19024.18,18799.57,18943.14,Netural,0
59,29-03-2011,2587.12,2699.45,-112.33,0.52,0.88,-0.36,642.98,621.14,21.84,1223.85,1698.02,-474.17,18949.57,19226.21,18944.82,19120.8,Netural,0
60,30-03-2011,2184.47,2265.23,-80.77,1.13,0.8,0.33,555.92,532.53,23.39,1291.97,1907.31,-615.35,19178.77,19357.1,19178.77,19290.18,Netural,0
61,31-03-2011,2190.08,2252.67,-62.59,0.98,1.39,-0.41,638.61,605.78,32.83,1640.23,3357.08,-1716.85,19339.75,19575.16,19284.35,19445.22,Netural,0
62,01-04-2011,2169.87,2204.89,-35.03,0.74,0.46,0.27,556.55,502.86,53.69,675.95,1088.58,-412.63,19463.11,19562.55,19382.35,19420.39,,
63,04-04-2011,2319.21,2400.34,-81.12,0.54,1.97,-1.44,657.44,603.88,53.55,744.63,1133.96,-389.33,19473.93,19729.6,19449.36,19701.73,Netural,0
64,05-04-2011,2731.31,2738.71,-7.4,0.45,1.97,-1.52,728.73,727.6,1.13,765.69,1294.67,-528.98,19731.38,19770.21,19523.54,19686.82,Netural,0
65,06-04-2011,2842.72,2814.89,27.82,0.69,1.19,-0.5,762.24,766.6,-4.37,1118.81,1649.86,-531.05,19698.61,19811.14,19550.55,19612.2,Netural,0
66,07-04-2011,2536.52,2537.02,-0.5,0.93,0.91,0.01,654.17,633.09,21.08,881.68,1093.84,-212.16,19620.88,19665.09,19537.02,19591.18,Netural,0
67,08-04-2011,2476.16,2436.42,39.74,0.94,2.14,-1.2,615.6,655.07,-39.46,982.97,1111.37,-128.41,19602.81,19697.21,19388.42,19451.45,Netural,0
68,11-04-2011,1854.18,1760.43,93.75,0.9,1.1,-0.21,436.13,446.24,-10.11,957.47,693.66,263.81,19382.91,19426.3,19242.59,19262.54,Netural,0
69,13-04-2011,2276.48,2331.68,-55.2,0.61,1.28,-0.67,624.27,538.89,85.38,1230.1,1234.9,-4.8,19187.01,19737.33,19101.63,19696.86,Netural,0
70,15-04-2011,2692.48,2562.78,129.7,1.57,1.38,0.19,733.13,726.74,6.39,1373.07,1733.95,-360.87,19670.07,19700.96,19337.12,19386.82,Netural,0
71,18-04-2011,2438.63,2353.43,85.2,3.56,3.13,0.43,642.67,697,-54.33,1395.14,733.67,661.47,19389.74,19649.22,19071.47,19091.17,Infosys stock price target cut  ratings unchanged ,-0.2732
72,19-04-2011,9352.51,11927.15,-2574.64,0.3,0.91,-0.62,743.94,658.07,85.87,959.69,751.36,208.33,19091.78,19201.92,18976.19,19121.83,Netural,0
73,20-04-2011,2658.83,2745.68,-86.85,0.57,1.18,-0.61,747.4,690.61,56.79,993.17,1016.45,-23.27,19274.21,19484.77,19171.03,19470.98,Netural,0
74,21-04-2011,2582.91,2594.51,-11.6,1.06,0.52,0.53,722.58,683.85,38.74,1076.57,1346.19,-269.61,19582.5,19695.98,19530.5,19602.23,Netural,0
75,25-04-2011,2011.05,2022.87,-11.82,0.7,0.67,0.03,518.95,515.76,3.19,1082.1,845.48,236.62,19538.52,19697.49,19531.34,19584.31,Netural,0
76,26-04-2011,2266.63,2211.92,54.71,0.86,0.72,0.15,628.98,597.54,31.45,1106.75,944.94,161.81,19596.32,19626.13,19306.92,19545.35,Netural,0
77,27-04-2011,2224.16,2131.03,93.13,0.98,1.16,-0.17,538.96,570.59,-31.63,1553.4,1254.12,299.28,19610.71,19633.63,19412.79,19448.69,Netural,0
78,28-04-2011,2152.62,2069.68,82.94,0.82,0.65,0.17,530.11,577.53,-47.42,1868.83,1336.23,532.6,19532.85,19542.05,19265.92,19292.02,Netural,0
79,29-04-2011,2107.82,2076.88,30.94,2.4,0.91,1.49,540.23,571.56,-31.33,1230.42,1291.48,-61.06,19292.57,19356.5,19015.05,19135.96,Netural,0
80,02-05-2011,1651.29,1613.99,37.3,0.95,0.42,0.53,503.66,500.04,3.62,901.12,1051.64,-150.52,19224.05,19253.87,18954.76,18998.02,Netural,0
81,03-05-2011,2047.27,1928.71,118.56,5.52,1.2,4.32,622.8,663.18,-40.38,1812.46,1205.63,606.83,18979.31,19024.95,18502.42,18534.69,Netural,0
82,04-05-2011,1775.84,1752.13,23.71,0.67,0.2,0.47,565.31,574.71,-9.4,1775.52,861.42,914.1,18558.33,18604.36,18339.53,18469.36,Netural,0
83,05-05-2011,1696.29,1649.02,47.26,0.85,1.09,-0.24,547.72,592.84,-45.12,1826.36,889.13,937.23,18484.71,18569.21,18160.65,18210.58,Netural,0
84,06-05-2011,1870.85,1970.25,-99.4,2.13,0.32,1.81,689.42,657,32.42,2065.76,1047.72,1018.04,18289.78,18568.48,18271.68,18518.81,Netural,0
85,09-05-2011,1598.89,1617.98,-19.09,1.06,0.6,0.46,537.7,531.97,5.73,500.92,626.7,-125.77,18628.63,18643.58,18367.21,18528.96,Netural,0
86,10-05-2011,1660.82,1731.71,-70.89,1.22,2.33,-1.1,543.12,544.06,-0.94,768.09,637.23,130.86,18564.95,18689.37,18429.06,18512.77,Netural,0
87,11-05-2011,1755.98,1792.75,-36.77,0.93,1.17,-0.24,550.86,545.84,5.02,827.85,738.73,89.11,18572.61,18622.44,18454.93,18584.96,Netural,0
88,12-05-2011,1796.86,1740.77,56.09,1.19,0.24,0.95,572.3,599.48,-27.18,1048.02,735.58,312.44,18525.32,18610.02,18314.34,18335.79,Netural,0
89,13-05-2011,1857.86,1896.01,-38.16,3.72,2.48,1.24,635.47,577.39,58.08,870.44,881.97,-11.53,18362.45,18724.54,18280.7,18531.28,Netural,0
90,16-05-2011,1496.85,1453.27,43.57,0.32,0.68,-0.36,445.66,476.81,-31.15,752.71,749.3,3.41,18492.68,18492.68,18319.88,18345.03,Netural,0
91,17-05-2011,1918.94,1762.03,156.9,0.77,1.23,-0.47,619.95,601.36,18.6,814.27,1384.56,-570.29,18374.45,18435.8,18084.67,18137.35,Netural,0
92,18-05-2011,1675.05,1650.26,24.79,0.72,1.13,-0.4,539.17,529.37,9.8,1115.97,1088.51,27.46,18177.32,18218.2,18020.79,18086.2,Netural,0
93,19-05-2011,1657.09,1653.74,3.36,0.79,0.95,-0.16,488.6,507.4,-18.8,1127.33,994.99,132.34,18166.64,18198.45,18057.82,18141.4,BSE Stock Prices Get the BSE Live Stock Price widget Welcome to    ,0.4588
94,20-05-2011,1920.1,1970.61,-50.52,0.79,1.36,-0.57,514.04,496.1,17.93,1406.18,1007.99,398.19,18199.96,18429.47,18161.38,18326.09,Netural,0
95,23-05-2011,1604.53,1593.82,10.71,0.77,0.23,0.53,509.66,526.89,-17.23,1070,875.78,194.22,18269.06,18269.06,17971.02,17993.33,Netural,0
96,24-05-2011,1746.19,1795.86,-49.67,1.62,1.1,0.52,543.02,529.4,13.62,778.17,745.22,32.95,18016.43,18110.39,17933.94,18011.97,Netural,0
97,25-05-2011,1940.2,1977.62,-37.42,0.82,0.66,0.16,574.74,565.49,9.25,946.27,766.86,179.4,17976.36,17976.36,17786.13,17847.24,Netural,0
98,26-05-2011,1748.97,1842.19,-93.22,0.64,0.24,0.4,557.81,567.11,-9.31,1696.01,1462.48,233.53,17917.11,18072.61,17862.88,18044.64,Netural,0
99,27-05-2011,2171.69,2355.04,-183.35,3.4,0.72,2.67,736.21,698.21,38,1076.64,688.39,388.24,18105.61,18298.64,18087.16,18266.1,Netural,0
100,30-05-2011,1758.56,1785.75,-27.19,0.83,0.43,0.39,529.87,526.25,3.62,740.25,790.64,-50.39,18319.74,18380.17,18199.52,18232.06,Netural,0
101,31-05-2011,2102.73,2217.88,-115.16,2.92,0.92,2.01,642.29,584.37,57.92,1170.34,1767,-596.66,18266.61,18526.8,18266.61,18503.28,Netural,0
102,01-06-2011,1820,1897.57,-77.57,0.94,0.39,0.55,550.99,535.75,15.24,644.8,786.76,-141.96,18527.12,18636.12,18514.66,18608.81,,
103,02-06-2011,1967.44,1944.14,23.3,3.22,1.07,2.15,605.94,604.91,1.03,897.38,1027.98,-130.6,18425.85,18540.67,18390.57,18494.18,Netural,0
104,03-06-2011,1815.29,1775.33,39.96,4.88,0.84,4.04,560.78,565.01,-4.23,488.37,843.88,-355.51,18554.4,18672.65,18345.85,18376.48,Netural,0
105,06-06-2011,1589.76,1581.96,7.8,0.34,0.91,-0.58,485.9,475.61,10.29,720.73,535.74,184.99,18344.27,18458.63,18258.42,18420.11,Netural,0
106,07-06-2011,1666.17,1700.3,-34.14,1.28,1.06,0.23,529.38,505.99,23.39,692.19,660.9,31.29,18355.3,18545.95,18351.24,18495.62,Netural,0
107,08-06-2011,1751.28,1766.71,-15.43,0.81,0.67,0.15,544.24,548.9,-4.66,692.01,606.54,85.47,18448.4,18505.1,18365.94,18394.29,Netural,0
108,09-06-2011,1522.78,1499.39,23.39,0.53,2.15,-1.63,457.02,452.66,4.36,564.46,555.49,8.97,18394.57,18449.64,18327.01,18384.9,Netural,0
109,10-06-2011,1696.19,1742.53,-46.34,3,0.56,2.44,523.71,530,-6.28,839.45,502.47,336.98,18390.41,18399.02,18182.9,18268.54,BUY Sintex Industries   Notional MTM Loss Driving Real Stock Price Loss  Previewing  QFY  E   stocks bse nse BUY Sintex Industries   Notional MTM Loss Driving Real Stock Price Loss ,-0.802
110,13-06-2011,1699.63,1695.32,4.31,2.03,0.95,1.08,523.01,502.88,20.13,917.1,889.76,27.33,18242.25,18313.21,18120.76,18266.03,Netural,0
111,14-06-2011,1929.54,1918.33,11.21,0.55,1.34,-0.79,559.98,551.2,8.79,1700.97,1090.25,610.73,18276.78,18380.19,18261.11,18308.66,Netural,0
112,15-06-2011,1807.41,1753.51,53.9,0.95,3.26,-2.31,508.16,517.97,-9.81,1009.26,868.12,141.13,18298.59,18308.69,18111.21,18132.24,Netural,0
113,16-06-2011,1840.16,1804.69,35.47,1.37,1.3,0.07,589.99,597.92,-7.94,1308.28,1022.18,286.09,18060.11,18155.1,17958.94,17985.88,Netural,0
114,17-06-2011,1744.11,1725.56,18.55,0.98,1.18,-0.2,566.94,560.46,6.48,851.51,886.88,-35.37,18060.17,18064.76,17844.09,17870.53,BSE AUTO Stock Price  BSE Market Indices  BSE Auto Price  Stock    ,0
115,20-06-2011,1862.82,1792.88,69.94,0.72,0.61,0.11,679.09,730.27,-51.19,1545.17,681.86,863.31,17925.17,17925.17,17314.38,17506.63,Netural,0
116,21-06-2011,1538.53,1556.57,-18.04,1.23,0.37,0.87,564.65,573.54,-8.89,1143.76,713.35,430.42,17574.37,17714.88,17504.27,17560.3,Netural,0
117,22-06-2011,1508.99,1498.43,10.56,0.77,5.08,-4.31,530.68,530.45,0.23,824.99,667.62,157.37,17659.37,17678.86,17492.19,17550.63,Netural,0
118,23-06-2011,1647.42,1686.9,-39.49,0.89,1.12,-0.24,574.11,572.9,1.21,866.12,624.17,241.94,17526.92,17754.55,17482.21,17727.49,Netural,0
119,24-06-2011,1824.61,1920.88,-96.26,0.55,0.5,0.06,686.12,608.02,78.1,1064.62,1551.47,-486.85,17804.94,18268.95,17804.94,18240.68,Netural,0
120,27-06-2011,1702.5,1781.26,-78.76,0.56,0.6,-0.04,582.23,553.25,28.98,933.65,1700.03,-766.38,18132.7,18494.11,18132.7,18412.41,Netural,0
121,28-06-2011,1915.21,1863.61,51.6,0.23,0.4,-0.17,555.55,527.9,27.65,999.42,1574.48,-575.06,18493.59,18527.45,18323.44,18492.45,Netural,0
122,29-06-2011,1938.96,2006.43,-67.47,0.74,1.71,-0.97,621.28,608.23,13.05,1290.67,1531.26,-240.59,18552.19,18715.39,18552.19,18693.86,Netural,0
123,30-06-2011,1832.1,1893.35,-61.25,1.17,0.69,0.48,602.05,570.39,31.66,1180.97,1954.35,-773.38,18741.1,18873.39,18723.14,18845.87,Netural,0
124,01-07-2011,1825.28,1820.09,5.19,1.11,14.75,-13.65,634.22,627.08,7.14,1044.68,1499.99,-455.32,18974.96,19031.38,18713.07,18762.8,,
125,04-07-2011,1682.76,2108.3,-425.54,0.66,1.1,-0.44,548.02,538.39,9.63,982.13,1351.45,-369.32,18896.24,18942.42,18781.88,18814.48,Maruti Suziki shares down over products recall  The stock price of Maruti Suziki falls by around     pc on BSE and was trading at Rs    ,0.296
126,05-07-2011,1768.06,1750.76,17.3,0.73,0.83,-0.1,559.64,559.71,-0.06,984.37,1882.86,-898.48,18837.88,18837.88,18694.05,18744.56,Netural,0
127,06-07-2011,1746.47,1737.24,9.23,0.84,0.65,0.2,548.87,547,1.86,991.95,1072.18,-80.23,18730.29,18823.45,18682.6,18726.97,Netural,0
128,07-07-2011,2168.62,2293.06,-124.44,1.15,0.78,0.36,739.32,691.82,47.51,1420.57,1581.6,-161.03,18776.62,19097.78,18767.25,19078.3,Netural,0
129,08-07-2011,2069.75,2039.39,30.35,0.93,0.77,0.16,687.33,694.1,-6.77,1149.45,1539.16,-389.7,19084.06,19131.7,18817.71,18858.04,Netural,0
130,11-07-2011,1520.29,1502.99,17.3,0.5,0.31,0.19,507.08,519.83,-12.75,736.35,662.71,73.64,18823.19,18843.97,18679.49,18721.39,Netural,0
131,12-07-2011,2004.52,1945.8,58.71,0.92,0.85,0.07,600.39,608.31,-7.92,1326.18,1039.41,286.77,18534.11,18589.19,18326.42,18411.62,Netural,0
132,13-07-2011,1823.05,1824.24,-1.19,0.6,0.89,-0.29,492.07,471.93,20.14,963.38,1332.29,-368.91,18468.82,18626.41,18465.4,18596.02,Netural,0
133,14-07-2011,1898.19,1993.87,-95.67,1.74,1.93,-0.19,547.1,534.55,12.56,1591.7,1073.88,517.81,18563.69,18803.05,18449.23,18618.2,Netural,0
134,15-07-2011,1544.89,1532.93,11.96,0.73,0.65,0.07,372.42,365.48,6.95,687.05,726.19,-39.14,18694.19,18936.43,18513.22,18561.92,Netural,0
135,18-07-2011,1741.1,1768.17,-27.06,0.62,0.38,0.24,351.55,346.68,4.86,797.83,634.21,163.62,18592.19,18622.56,18469.53,18507.04,Netural,0
136,19-07-2011,2024.26,2071.95,-47.69,1.03,1.28,-0.25,543.42,506.95,36.47,802.67,1029.59,-226.92,18521.38,18690.42,18481.83,18653.87,Netural,0
137,20-07-2011,2247.04,2194.39,52.64,0.86,0.59,0.27,613.72,645.67,-31.96,1198.73,1178.25,20.48,18756.31,18765.6,18473.9,18502.38,Netural,0
138,21-07-2011,1916.85,1941.51,-24.66,1.78,0.75,1.03,497.62,510.7,-13.08,1223.92,815.56,408.36,18514.65,18566.99,18415.36,18436.19,Netural,0
139,22-07-2011,2108.12,2227.39,-119.27,1.14,1.37,-0.23,610.78,555.78,55,1329.71,1086.66,243.05,18565.04,18747.06,18533.43,18722.3,Netural,0
140,25-07-2011,1996.57,2052.2,-55.63,2.93,0.75,2.18,573.22,552.14,21.08,1511.75,1287.5,224.25,18753.35,18932.27,18670.84,18871.29,Netural,0
141,26-07-2011,2077.55,1978.62,98.94,1.47,0.6,0.87,570.7,594.37,-23.68,1387.82,1356.33,31.49,18898.19,18944.6,18481.63,18518.22,Netural,0
142,27-07-2011,1935.61,1886.67,48.94,2.48,0.52,1.96,545.72,550.66,-4.94,1309.12,1309.31,-0.19,18571.15,18578.55,18358.76,18432.25,Netural,0
143,28-07-2011,1984.28,1899.86,84.42,2.13,1.27,0.86,531.49,546.4,-14.91,1878.11,1468.77,409.35,18300.55,18327.85,18188.88,18209.52,Netural,0
144,29-07-2011,2021.09,2037.84,-16.76,0.79,0.77,0.02,579.78,595.08,-15.3,1564.71,1152.89,411.81,18194.15,18334.27,18131.86,18197.2,Netural,0
145,01-08-2011,1723.47,1721.36,2.11,1.65,0.69,0.95,487.93,483.55,4.38,956.14,1051.4,-95.26,18352.23,18440.07,18219.25,18314.33,,
146,02-08-2011,1619.53,1639.27,-19.74,23.07,0.33,22.75,481.09,474.81,6.29,1231.41,1091.53,139.87,18283.55,18283.55,18037.87,18109.89,Netural,0
147,03-08-2011,1633.37,1607.66,25.71,1.47,1.85,-0.38,548.15,516.26,31.89,1464.19,1041.71,422.48,17970.19,18005.76,17859.5,17940.55,Netural,0
